cell_line	exp_id	file_id(.bam)	quality	genome_version	output_type
k562	ENCSR000EKS	ENCFF445IJB	red	hg19	unfiltered_alignments
gm12878	ENCSR000EMT	ENCFF855ODQ	green	hg19	unfiltered_alignments
hela	ENCSR000EJT	ENCFF243UHM	orange	hg19	unfiltered_alignments
h1	ENCSR000EMU	ENCFF450BWK	green	hg19	unfiltered_alignments
hepg2	ENCSR000EJV	ENCFF220QHB	orange	hg19	unfiltered_alignments
sk-n-sh	ENCSR000ELQ	ENCFF514OLS	green	gc38	unfiltered_alignments
gm23338	ENCSR004SUL	ENCFF640ZAZ	green	hg19	unfiltered_alignments
mcf-7	ENCSR000EPH	ENCFF840PPX	green	hg19	unfiltered_alignments
a549	ENCSR000ELW	ENCFF861UXY	green	hg19	unfiltered_alignments
imr-90	ENCSR477RTP	ENCFF336RON	green	hg19	unfiltered_alignments
hl-60	ENCSR000ENU	ENCFF319QMW	green	hg19	unfiltered_alignments
